ID;reference;Identify;Guess;Seek;Assess;Rater_1;Rater_oli;Rater_random
BC23I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Le manteau,le centre de la Terre;Je pense que le manteau et le centre de la Terre sont les mêmes choses;Le manteau et le centre de la Terre ne font ils qu'un?;Je n'ai pas pu trouver la réponse à ma question.;1;1.0;1
BC23I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;La capacité de stokage de notre cerveau;Notre cerveau peut stocker plus d'informations qu'un ordinateur;Quelle est la capacité d<e stockage de notre cerveau;Notre cerveau peut stocker plus d'informations que 100 ordinateur réunis;1;1.0;0
BC23I3;Toutankhamon était un pharaon, un roi de l'Egypte antique. Il est très connu aujourd’hui parce que des archéologues ont retrouvé son cercueil intacte avec tous ses trésors, en 1922. Pour les Egyptiens, il y avait une vie après la mort, une vie éternelle. C’est pour cela que le corps devait être conservé dans le meilleur état possible, c’est ce qu’on appelle la momification. C’est aussi pour cela que l’on retrouve aujourd’hui de la nourriture, des armes ou des trésors dans les tombeaux. Ces objets accompagnaient le pharaon dans sa vie après la mort.;La période des pharaons;Les Pharaons vécu il y a longtemps avant J.C;Quand est-ce que les Pharaons sont-ils apparus?;Le premier Pharaon a vécu à 3000 avant J.-C.;1;1.0;0
BC23I4;La très grande majorité de l’or disponible dans le monde est aujourd'hui utilisée en bijouterie et pour sa fonction décorative : vêtements, monuments ou œuvres d’art… Mais l’or a d’autres usages plus inattendus : les dentistes l’utilisent pour fabriquer des couronnes dentaires par exemple. Presque tous les produits électroniques (téléphone, ordinateur...) contiennent de l’or en très petite quantité car il permet de bien connecter les composantes entre elles. Enfin, l'or est également utilisé dans la fabrication des équipements spatiaux.;Connexion entre les composants électroniques avec l'or;Les composantes électroniques doivent être connectés par des pièces en or;Comment les composants électroniques sont-elles liées entre elles avec de l'or?;Les composants électroniques sont liés entre elles avec des fils en or;0;0.0;1
BC23I5;Des scientifiques ont révélé l’existence de traces d’insectes, de plantes et d’animaux en Australie. Ces traces sont les restes d’animaux et de végétaux morts qui ont laissé leur empreinte dans la roche : c'est ce qu'on appelle des fossiles. Ils vivaient il y a plus de 11 millions d’années, bien avant l’apparition des premiers humains ! Ces empreintes passionnent les scientifiques car ils sont très bien conservés, les spécialistes peuvent observer des détails très intéressants.;La formation des traces dans les roches;Ces traces se forment automatiquement quand un être vivant meurt;Comment les êtres vivants laisse-t-il des traces dans les roches ??;Seule une toute petite proportion des organismes peut laisser des trace dans les roches;0;0.0;1
BC23I6;La religion de la Grèce antique comprend plusieurs dieux. Les aventures de ces dieux forment ce qu'on appelle la mythologie grecque, l'une des mythologies les plus développées de l'histoire antique. D'après les Grecs, les 12 principaux dieux vivent sur l'Olympe et ont une apparence et un comportement comparables à celui des humains. Les dieux les plus connus sont : Athéna, déesse de la guerre, Zeus, roi des dieux et dieu de la foudre. Héra, déesse du mariage. Poséidon, dieu des océans.;L'Olympe;L'Olympe est le château des dieux grecs;Qu'est-ce que l'Olympe?;L'Olympe donne son nom aux Jeux Olympiques;0;0.0;1
BC23I7;La Rome antique désigne l'histoire de la cité de Rome pendant l'Antiquité. Selon la légende, Rome aurait été fondée par Romulus qui aurai donné son nom à la ville. Au départ, ce n'était qu'un groupe de quelques villages, puis l'Empire romain va couvrir une grande partie de l'Europe et entourer toute la mer Méditerranée. La religion romaine comptait de nombreux dieux, inspirés en partie des dieux grecs. ;Les dieux romains;Il y a plusieurs dieux romains;Quels sont les dieux romains?;Il il y a 12 du roman comme Vénus la déesse de la beauté Apollon le dieu du soleil;1;1.0;0
BC23I8;La forêt tropicale humide a un climat qui fournit beaucoup d'eau et une température élevée toute l'année. Cela favorise la densité et la croissance permanente des plantes de ces fôrets.  En Asie, on appelle ce genre de fôret 'la jungle'. Elle est parfois appelée forêt dense, bien que cette expression signifie seulement que les arbres sont très proches les uns des autres. Dans les fôrets tropicales, les arbres formant trois étages de hauteur différentes, sont très serrés et perdent leurs feuilles irrégulièrement.;Les plantes de la forêt tropicale;Les forêt tropicales contiennent tous types de plantes;Quelle plante peut-on voir dans les forêts tropicales?;Les forêts tropicales sont toujours vertes car il pleut tout le temps;0;0.0;0
BC14I1;À des dizaines de kilomètres sous nos pieds, la terre contient une couche qu’on appelle le manteau. Il fait tellement chaud sur cette couche que les roches deviennent liquides : c’est ce qu'on appelle le magma. Le magma est responsable de l'explosion des volcans: c'est ce que les scientifiques appellent aussi une éruption d'un volcan. On dit qu’un volcan est endormi s’il n’y a eu aucune éruption dans les 10 000 dernières années. Au delà de 10 000 ans, on peut dire que le volcan est éteint.;Température du magma;La température du magma s'élève à plus de 1000°c;À combien de °cle magma est?;La température du magma atteint les 1000°C;1;1.0;1
BC14I2;La mémoire, c’est une fonction de notre cerveau qui nous permet de garder les informations pour ensuite les récupérer et les utiliser. Tables de multiplication, poésies, … notre cerveau est capable d’enregistrer et d'organiser énormément d’informations. Il récolte ces informations grâce à nos 5 sens. Les informations sont ensuite envoyées dans différentes zones du cerveau.  Il y a donc une zone pour les sons, une zone pour les images, pour les odeurs ... Et la mémoire, c’est comme un muscle : en s’entraînant, on peut retenir plus de choses et plus facilement !;Les autres fonctions du cerveau;Notre cerveau peut stocker plus d'informations qu'un ordinateur;Quelle est la capacité de stockage de notre cerveau;Oui;0;0.0;0
